"timestamp","operation","batch","inserted","reciprocal","total","skipped_direct","skipped_recip","mothers_used","fathers_used","status","message","user"
"2026-01-10 20:38:56","matrix_write","2026春季",7,7,14,0,0,"P0003;P0006;P0011;P0014","P0002;P0013;P0019","success","","zhaoq"
"2026-01-10 20:43:39","matrix_write","2026春季",4,4,8,0,0,"平豆2号;宿豆051;皖豆37","洛豆1号;南农47","success","","zhaoq"
"2026-01-10 21:09:39","matrix_write","2026春季",3,3,6,0,0,"金豆99;宿豆051","冀豆33;平豆2号","success","","zhaoq"
"2026-01-10 21:11:24","matrix_write","2026春季",27,27,54,0,0,"冀豆12;冀豆33;南夏豆25;圣豆29;涡豆5;浙春豆2018;中黄13","冀豆12;南夏豆25;圣豆29;浙春豆2018;中黄13","success","","zhaoq"
"2026-01-11 08:16:49","matrix_write","2026春季",5,5,10,0,0,"齐黄34;皖豆28;郓豆1号","齐黄34;皖豆28;中黄13","success","","zhaoq"
"2026-01-11 08:24:25","matrix_write","2026春季",6,6,12,0,0,"濮豆103;皖豆28;油6019","平豆2号;濮豆103;齐黄34","success","","zhaoq"
"2026-01-11 08:51:19","matrix_write","2026春季",8,8,16,0,0,"齐黄34;皖豆28;油6019;中黄13","皖豆37;皖豆66;郓豆1号","success","","zhaoq"
"2026-01-11 10:13:49","matrix_write","2026春季",4,4,8,0,0,"南农47;齐黄34;宿豆051","金豆99;皖豆28","success","","zhaoq"
"2026-01-11 10:39:25","matrix_write","N2611",15,15,30,0,0,"濮豆103;皖豆28;皖豆37;郑1307;中黄13","平豆2号;皖豆28;油6019;中黄301","success","","zhaoq"
"2026-01-11 10:46:46","matrix_write","N2611",5,5,10,0,0,"金豆99;齐黄34;中黄13","金豆99;平豆2号;皖豆66","success","","zhaoq"
"2026-01-11 10:47:25","matrix_write","N2611",5,5,10,0,0,"金豆99;齐黄34;中黄13","金豆99;平豆2号;皖豆66","success","","zhaoq"
"2026-01-11 11:08:23","matrix_write","N2611",10,10,20,0,0,"冀豆33;南农47;皖豆66;皖宿112","金豆99;平豆2号;濮豆103;皖豆66","success","","zhaoq"
"2026-01-11 11:08:51","matrix_write","N2611",2,2,4,0,0,"皖豆66","平豆2号;濮豆103","success","","zhaoq"
"2026-01-11 11:25:34","matrix_write","N2611",3,3,6,0,0,"金豆99;南农47;平豆2号","齐黄34;皖豆37;中黄13","success","","zhaoq"
"2026-01-12 11:38:24","matrix_write","N2611",3,3,6,0,0,"金豆99;郓豆1号;中黄13","平豆2号","success","","zhaoq"
"2026-01-12 20:09:34","matrix_write","N2611",10,10,20,0,0,"南农47;齐黄34;皖豆66;中黄13","金豆99;齐黄34;皖豆28;皖宿112","success","","zhaoq"
"2026-01-12 20:27:29","matrix_write","N2611",12,12,24,0,0,"金豆99;皖豆37;郓豆1号;中黄13","皖豆28;皖豆66;涡豆5","success","","zhaoq"
"2026-01-13 11:28:28","matrix_write","N2611",12,12,24,0,0,"郑1307","冀豆33;洛豆1号;平豆2号;濮豆103;宿豆051;皖豆28;皖豆37;皖豆66;涡豆5;涡豆8;油6019;中黄301","success","","zhaoq"
"2026-01-13 11:30:05","matrix_write","N2611",12,12,24,0,0,"郑1307","冀豆33;洛豆1号;平豆2号;濮豆103;宿豆051;皖豆28;皖豆37;皖豆66;涡豆5;涡豆8;油6019;中黄301","success","","zhaoq"
"2026-01-13 13:44:39","matrix_write","N2611",8,8,16,0,0,"洛豆1号","金豆99;南农47;平豆2号;濮豆103;齐黄34;皖豆28;皖豆37;油6019","success","","zhaoq"
"2026-01-13 13:44:41","matrix_write","N2611",0,0,0,8,0,"洛豆1号","金豆99;南农47;平豆2号;濮豆103;齐黄34;皖豆28;皖豆37;油6019","success","","zhaoq"
"2026-01-13 13:44:42","matrix_write","N2611",0,0,0,8,0,"洛豆1号","金豆99;南农47;平豆2号;濮豆103;齐黄34;皖豆28;皖豆37;油6019","success","","zhaoq"
"2026-01-13 18:26:38","matrix_write","N2611",7,7,14,0,0,"平豆2号;濮豆103;皖豆37","濮豆103;皖豆28;中黄13;中黄301","success","","zhaoq"
"2026-01-13 20:05:01","matrix_write","N2611",7,7,14,0,0,"金豆99","南农47;平豆2号;濮豆103;齐黄34;宿豆051;皖豆28;皖豆66","success","","zhaoq"
"2026-01-14 07:14:57","matrix_write","N2611",8,8,16,0,0,"郑1307","平豆2号;濮豆103;宿豆051;皖豆28;皖豆37;皖豆66;油6019;中黄301","success","","zhaoq"
"2026-01-14 08:06:56","matrix_write","N2611",5,5,10,0,0,"南农47;濮豆103;齐黄34;皖豆28;皖豆66","金豆99","success","","zhaoq"
"2026-01-14 08:15:52","matrix_write","N2611",8,8,16,0,0,"金豆99;齐黄34;皖豆66;中黄301","平豆2号;中黄13;中黄301","success","","zhaoq"
"2026-01-14 09:19:43","matrix_write","N2612",8,8,16,0,0,"金豆99;齐黄34;皖豆66","濮豆103;宿豆051;皖豆28;皖豆37;皖豆66","success","","zhaoq"
